No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 227, 227);5.6032160000000015;3.7017242969769177;0;0;2.516478;1.5098868000000003;3.086738000000001;2.1918374969769174
2;MaxPool2d: 2-6;[1, 128, 28, 28];14.199486000000004;3.9764662947324334;10.286080000000002;1.44464413392128;1.633534;0.9801204;2.279872;1.551701760811153
3;MaxPool2d: 2-9;[1, 256, 14, 14];17.070670000000003;3.9177218872553854;14.551040000000004;2.26447307772672;0.816782;0.49006920000000004;1.702848;1.1631796095286653
4;Fire: 2-10;[1, 384, 14, 14];18.088430000000006;4.310885343957465;15.160320000000006;2.4125485344288;1.2252619999999999;0.7351571999999998;1.702848;1.1631796095286653
5;Fire: 2-11;[1, 384, 14, 14];18.573614000000006;4.361197616789269;15.805440000000006;2.5711603619980803;1.2252619999999999;0.7351571999999998;1.542912;1.0548800547911887
6;Fire: 2-12;[1, 512, 14, 14];19.959422000000007;4.748097800412393;16.952320000000007;2.82954726073984;1.633534;0.9801204;1.3735680000000001;0.9384301396725523
7;Fire: 2-13;[1, 512, 14, 14];20.96115000000001;4.833404312378852;18.242560000000008;3.10482931431808;1.633534;0.9801204;1.085056;0.7484545980607719
8;AdaptiveAvgPool2d: 2-17;[1, 1000, 1, 1];21.843006000000006;4.37902110971168;21.826560000000008;4.36915350971168;0.016446000000000002;0.0098676;0;0
